city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population
Pottstown,Pottstown,40.2508,-75.6445,United States,US,USA,Pennsylvania,,109052
Everett,Everett,47.9524,-122.1672,United States,US,USA,Washington,,109043
Burlington,Burlington,44.4877,-73.2314,United States,US,USA,Vermont,,108331
West Palm Beach,West Palm Beach,26.7468,-80.1315,United States,US,USA,Florida,,108161
West Covina,West Covina,34.0555,-117.9112,United States,US,USA,California,,107847
Broken Arrow,Broken Arrow,36.0367,-95.7808,United States,US,USA,Oklahoma,,107403
Salisbury,Salisbury,38.3755,-75.5883,United States,US,USA,Maryland,,107026
Sioux City,Sioux City,42.4959,-96.3901,United States,US,USA,Iowa,,106740
Eau Claire,Eau Claire,44.8202,-91.4948,United States,US,USA,Wisconsin,,106681
Clovis,Clovis,36.8283,-119.6851,United States,US,USA,California,,106583
Daly City,Daly City,37.6863,-122.4684,United States,US,USA,California,,106472
Norwalk,Norwalk,33.9069,-118.0829,United States,US,USA,California,,106178
Turlock,Turlock,37.5053,-120.8588,United States,US,USA,California,,106100
Sandy Springs,Sandy Springs,33.9366,-84.3703,United States,US,USA,Georgia,,105703
Hillsboro,Hillsboro,45.5289,-122.9373,United States,US,USA,Oregon,,105164
Lewisville,Lewisville,33.0453,-96.9823,United States,US,USA,Texas,,104659
Burbank,Burbank,34.188,-118.3234,United States,US,USA,California,,104447
Chico,Chico,39.7568,-121.816,United States,US,USA,California,,104302
San Mateo,San Mateo,37.5522,-122.3122,United States,US,USA,California,,103959
El Cajon,El Cajon,32.8017,-116.9604,United States,US,USA,California,,103768
Rialto,Rialto,34.1128,-117.3885,United States,US,USA,California,,103314
La Crosse,La Crosse,43.8234,-91.2279,United States,US,USA,Wisconsin,,102427
League City,League City,29.4873,-95.109,United States,US,USA,Texas,,102010
Davie,Davie,26.0789,-80.287,United States,US,USA,Florida,,101871
Jacksonville,Jacksonville,34.7323,-77.3962,United States,US,USA,North Carolina,,101865
Vista,Vista,33.1895,-117.2386,United States,US,USA,California,,101659
Holland,Holland,42.7676,-86.0984,United States,US,USA,Michigan,,101421
Renton,Renton,47.4757,-122.1904,United States,US,USA,Washington,,100953
Longview,Longview,32.5192,-94.7622,United States,US,USA,Texas,,100852
Temple,Temple,31.1077,-97.3899,United States,US,USA,Texas,,100641
San Angelo,San Angelo,31.4424,-100.4503,United States,US,USA,Texas,,100472
Logan,Logan,41.7403,-111.8418,United States,US,USA,Utah,,99909
Charlottesville,Charlottesville,38.0374,-78.4856,United States,US,USA,Virginia,,99664
Bend,Bend,44.0562,-121.3087,United States,US,USA,Oregon,,99634
Wichita Falls,Wichita Falls,33.9072,-98.5293,United States,US,USA,Texas,,99596
Allen,Allen,33.1087,-96.6735,United States,US,USA,Texas,,99179
Vacaville,Vacaville,38.3592,-121.9686,United States,US,USA,California,,99059
Sparks,Sparks,39.5727,-119.7131,United States,US,USA,Nevada,,98345
Longmont,Longmont,40.1691,-105.0995,United States,US,USA,Colorado,,97835
Middletown,Middletown,39.5032,-84.3659,United States,US,USA,Ohio,,97742
Beaverton,Beaverton,45.4779,-122.8168,United States,US,USA,Oregon,,97590
Compton,Compton,33.893,-118.2275,United States,US,USA,California,,97550
Orem,Orem,40.2988,-111.699,United States,US,USA,Utah,,97499
Bismarck,Bismarck,46.8127,-100.7694,United States,US,USA,North Dakota,admin,96857
Federal Way,Federal Way,47.3091,-122.3358,United States,US,USA,Washington,,96757
Spokane Valley,Spokane Valley,47.6625,-117.2345,United States,US,USA,Washington,,96340
Idaho Falls,Idaho Falls,43.4878,-112.0359,United States,US,USA,Idaho,,96166
Boca Raton,Boca Raton,26.3749,-80.1078,United States,US,USA,Florida,,96114
Rio Rancho,Rio Rancho,35.2873,-106.6979,United States,US,USA,New Mexico,,96028
Lawrence,Lawrence,38.9603,-95.2643,United States,US,USA,Kansas,,95800
Manteca,Manteca,37.7938,-121.2271,United States,US,USA,California,,95797
Brockton,Brockton,42.0821,-71.0242,United States,US,USA,Massachusetts,,95630
Meridian,Meridian,43.6182,-116.398,United States,US,USA,Idaho,,95623
Mandeville,Mandeville,30.375,-90.0906,United States,US,USA,Louisiana,,95576
South Gate,South Gate,33.9448,-118.1926,United States,US,USA,California,,95538
San Marcos,San Marcos,33.135,-117.1743,United States,US,USA,California,,95261
Portsmouth,Portsmouth,36.8468,-76.354,United States,US,USA,Virginia,,95252
Vineland,Vineland,39.4652,-74.9981,United States,US,USA,New Jersey,,94943
Roswell,Roswell,34.0391,-84.3513,United States,US,USA,Georgia,,94598
Dearborn,Dearborn,42.3127,-83.213,United States,US,USA,Michigan,,94444
Slidell,Slidell,30.2881,-89.7828,United States,US,USA,Louisiana,,94320
Tracy,Tracy,37.7254,-121.4447,United States,US,USA,California,,94277
Prescott Valley,Prescott Valley,34.5983,-112.3178,United States,US,USA,Arizona,,94154
Livonia,Livonia,42.3972,-83.3733,United States,US,USA,Michigan,,94041
Sunrise,Sunrise,26.1547,-80.2998,United States,US,USA,Florida,,93734
Hesperia,Hesperia,34.3974,-117.3144,United States,US,USA,California,,93724
Quincy,Quincy,42.2516,-71.0183,United States,US,USA,Massachusetts,,93688
Blacksburg,Blacksburg,37.23,-80.4277,United States,US,USA,Virginia,,93560
Terre Haute,Terre Haute,39.4654,-87.3763,United States,US,USA,Indiana,,92841
Carson,Carson,33.8374,-118.2559,United States,US,USA,California,,92797
Plantation,Plantation,26.126,-80.2617,United States,US,USA,Florida,,92706
Lynn,Lynn,42.4778,-70.9662,United States,US,USA,Massachusetts,,92697
Florence,Florence,34.1782,-79.785,United States,US,USA,South Carolina,,92614
Santa Monica,Santa Monica,34.0232,-118.4813,United States,US,USA,California,,92478
Lawton,Lawton,34.6171,-98.4204,United States,US,USA,Oklahoma,,92299
Miami Beach,Miami Beach,25.8171,-80.1396,United States,US,USA,Florida,,91917
Lafayette,Lafayette,39.9946,-105.0996,United States,US,USA,Colorado,,91767
Westminster,Westminster,33.7523,-117.9938,United States,US,USA,California,,91565
Dover,Dover,43.1887,-70.8845,United States,US,USA,New Hampshire,,91514
Albany,Albany,31.5776,-84.1762,United States,US,USA,Georgia,,91284
Portsmouth,Portsmouth,43.058,-70.7826,United States,US,USA,New Hampshire,,91193
Edmond,Edmond,35.6689,-97.4159,United States,US,USA,Oklahoma,,91191
Carmel,Carmel,39.9658,-86.1461,United States,US,USA,Indiana,,91065
Hanford,Hanford,36.326,-119.6539,United States,US,USA,California,,90515
